X,Y,C,R,time/div,volts/div,L
0.5,3.2,97.9E-9,5.3,0.1E-3,0.1,5.7E-3
1.0,-3.0,,,,,
2.1,2.6,,,,,
2.6,-2.6,,,,,
3.6,2.2,,,,,
4.2,-2.2,,,,,
5.2,2.0,,,,,
5.8,-2.0,,,,,
6.8,1.8,,,,,
7.4,-1.6,,,,,
8.4,1.6,,,,,
