X,Y,C,R,time/div,volts/div,L
0.4,4.0,1E-6,16.65,0.5E-3,0.1,5.7E-3
0.6,-3.0,,,,,
1.4,2.2,,,,,
1.6,-1.6,,,,,
2.3,1.2,,,,,
2.7,-0.9,,,,,
3.2,0.6,,,,,
3.7,-0.5,,,,,
4.3,0.4,,,,,
4.7,-0.3,,,,,
5.2,0.2,,,,,
5.8,-0.2,,,,,
